Greek Word,Frequency Rank,Theme,Level,French Translation,Part of Speech
ο πάγκος,3066,General,80,,
σπάνιος,3067,General,80,,
το φτιάξε,3068,General,80,,
απαντάω / απήντησα,3069,General,80,,
το φρούτο,3070,General,80,,
το γουρούνιο,3071,General,80,,
το τιμόνι,3072,General,80,,
λεω,3073,General,80,,
αναπνέω / ανέπνευσα,3074,General,80,,
χοντρόςς,3075,General,80,,
το ψητό,3076,General,80,,
ο δάνειος,3077,General,80,,
μετρό,3078,General,80,,
το δισεκατομμύριο,3080,General,80,,
το άλμα,3081,General,80,,
η εξαφάνιση,3082,General,80,,
μπίλυ,3084,General,80,,
η οροφή,3086,General,80,,
τα οστά,3088,General,80,,
η συγνωμη,3089,General,80,,
το έντουαρντ,3090,General,80,,
το κάλι,3091,General,80,,
η γαλαξία,3092,General,80,,
η δίωξη,3093,General,80,,
ο σωλήνας,3094,General,80,,
ρουθ,3096,General,80,,
μολις,3097,General,80,,
γκλεν,3098,General,80,,
γουάιτ,3099,General,80,,
ο φέρετρος,3100,General,80,,
ζεστά,3101,General,81,,
ο χριστουγέννων,3102,General,81,,
βρωμάω / βρώμησα,3103,General,81,,
το νεντ,3106,General,81,,
παρθένα,3107,General,81,,
η μετοχή,3108,General,81,,
το κτήνος,3110,General,81,,
το κάπτεν,3111,General,81,,
η ψεύτη,3112,General,81,,
πετάω / πέταξα,3113,General,81,,
ο κινητάς,3114,General,81,,
το δίπλωμα,3115,General,81,,
το παιδς,3116,General,81,,
αρνείται / αρνήθηκε,3117,General,81,,
το γου,3119,General,81,,
το στοπ,3120,General,81,,
λύνω / έλυσα,3123,General,81,,
ανέβει,3124,General,81,,
ντέιμον,3125,General,81,,
βασίζω / βάσισα,3126,General,81,,
ευγενικά,3127,General,81,,
η κόλλα,3128,General,81,,
το καλώδιο,3129,General,81,,
τα υλικά,3130,General,81,,
το συρτάρι,3131,General,81,,
το ξίφος,3132,General,81,,
τακτικός,3134,General,81,,
γρηγορα,3135,General,81,,
αληθεύω / αλήθεψα,3136,General,81,,
η εκτέλεση,3138,General,81,,
το ρίτσι,3139,General,82,,
τα σύννεφα,3140,General,82,,
ο μάνατζερ,3142,General,82,,
άχρηστος,3144,General,82,,
η χοντρή,3145,General,82,,
δίχως,3146,General,82,,
το χεράκι,3147,General,82,,
ο έπιπλος,3148,General,82,,
η εκδοχή,3151,General,82,,
το πορνό,3152,General,82,,
το κεν,3153,General,82,,
καμμιά,3155,General,82,,
αναρωτιέσαι,3158,General,82,,
το σώσε,3159,General,82,,
απάντησέ,3160,General,82,,
συνδέω / σύνδεσα,3161,General,82,,
ταγματάρχα,3163,General,82,,
το ύφος,3164,General,82,,
η ταράτσα,3165,General,82,,
μπλέικ,3166,General,82,,
μέι,3167,General,82,,
υποθέσω / υπόθεσα,3168,General,82,,
μπαμπα,3170,General,82,,
μονάχα,3171,General,82,,
καλ,3172,General,82,,
το σκοινί,3174,General,82,,
ο ηγέτης,3175,General,82,,
φανώ / φανούσα,3176,General,82,,
ο καπνός,3177,General,82,,
η πύλα,3178,General,82,,
βερόνικος,3179,General,83,,
το προβλήμα,3180,General,83,,
το κουδούνι,3181,General,83,,
χέδερ,3183,General,83,,
έϊ,3184,General,83,,
το ακριβως,3185,General,83,,
το χάρισμα,3186,General,83,,
κριστίνς,3187,General,83,,
τζιλ,3191,General,83,,
το μαξιλάρι,3192,General,83,,
γενναία,3193,General,83,,
η χτυπήματα,3194,General,83,,
η στήλη,3196,General,83,,
το πρεσβείο,3197,General,83,,
ο αρχηγείος,3199,General,83,,
άρθουρ,3200,General,83,,
το μμ,3202,General,83,,
το οντισιόν,3203,General,83,,
η ψεύτρα,3204,General,83,,
η διευθύντρια,3205,General,83,,
γερά,3206,General,83,,
η ύπαρξη,3207,General,83,,
κόπανος,3208,General,83,,
η ακοή,3211,General,83,,
το τρόφιμα,3212,General,83,,
τάρα,3214,General,83,,
περιλαμβάνω / περίλαβα,3215,General,83,,
η κοπελιά,3216,General,83,,
το λάδι,3217,General,83,,
το τετράγωνο,3218,General,83,,
σχεδιάζω / σχεδίασα,3219,General,84,,
τοις,3220,General,84,,
η ηρεμία,3221,General,84,,
ο γονιών,3222,General,84,,
το σκυλάκι,3223,General,84,,
αρχικός,3224,General,84,,
ο βαμπίρ,3225,General,84,,
το ποντίκι,3226,General,84,,
ρίκις,3227,General,84,,
τοπικός,3228,General,84,,
στενής,3229,General,84,,
το λόρι,3230,General,84,,
ο ένστικτος,3231,General,84,,
άντζελος,3232,General,84,,
η μπλα,3234,General,84,,
η σαμάνθα,3235,General,84,,
το χονγκ,3236,General,84,,
μακγκί,3237,General,84,,
η φύλακα,3238,General,84,,
επειδη,3239,General,84,,
το διαβατήριο,3241,General,84,,
ο καναδάς,3242,General,84,,
το μπένετ,3244,General,84,,
κόφ,3246,General,84,,
εμενος,3247,General,84,,
οι εφιάλτες,3248,General,84,,
κέρτις,3249,General,84,,
μπάουερ,3250,General,84,,
το μήλο,3251,General,84,,
αρα,3252,General,84,,
το σήκωσέ,3253,General,85,,
το αφησέ,3254,General,85,,
γεμίζω / γέμισα,3255,General,85,,
η τσέπα,3256,General,85,,
η βασίλη,3257,General,85,,
η ηρωίνη,3258,General,85,,
ο θρόνος,3260,General,85,,
πυροβόλησες,3262,General,85,,
η γροθιά,3263,General,85,,
οι πίνακες,3264,General,85,,
η μεταφραση,3267,General,85,,
η πάπια,3268,General,85,,
ο εβραίος,3269,General,85,,
ο άθλιος,3270,General,85,,
μιτς,3271,General,85,,
κινέζικο,3272,General,85,,
θαυμάζω / θαύμασα,3276,General,85,,
η μάχα,3277,General,85,,
ακαδημία,3278,General,85,,
λέσλι,3279,General,85,,
το βίβλο,3281,General,85,,
η μπαταρία,3282,General,85,,
ξένος,3283,General,85,,
το τζάμπο,3284,General,85,,
βανέσα,3285,General,85,,
το άγαλμα,3286,General,85,,
ο έμπορος,3287,General,85,,
σκέτο,3289,General,85,,
μπάφυ,3290,General,85,,
η λάμψη,3291,General,85,,
λέιζερ,3292,General,86,,
η κριστίνα,3293,General,86,,
λίαμ,3294,General,86,,
το μέρι,3295,General,86,,
μετακομίζω / μετακόμισα,3296,General,86,,
το κοριτσιό,3297,General,86,,
το κόουτςς,3298,General,86,,
λεσβία,3300,General,86,,
ξανα,3301,General,86,,
ο λοχίας,3302,General,86,,
ξαναπάρω / ξαναπάρισα,3303,General,86,,
ο ραντάρ,3304,General,86,,
ασχολείται / ασχολήθηκε,3305,General,86,,
μέντιουμ,3306,General,86,,
κεί,3307,General,86,,
η κλειδαριά,3308,General,86,,
ο όρθιος,3309,General,86,,
νόμιμος,3310,General,86,,
η μόλυνση,3311,General,86,,
μέρεντιθ,3312,General,86,,
μόσχα,3313,General,86,,
περαιτέρω,3314,General,86,,
ναόμι,3315,General,86,,
οι ρώσοι,3316,General,86,,
κρίνω / έκρινα,3317,General,86,,
το φυτό,3318,General,86,,
θετικός,3319,General,86,,
δοθεί,3320,General,86,,
όπας,3321,General,86,,
αι,3322,General,86,,
το μπαστούνι,3323,General,87,,
τρόι,3324,General,87,,
το χι,3325,General,87,,
κυνηγώ / κυνήγησα,3326,General,87,,
η ανάπτυξη,3327,General,87,,
ότου,3328,General,87,,
η κουβέρτα,3329,General,87,,
η διακοπή,3330,General,87,,
ο βρικόλακας,3333,General,87,,
το μπόνι,3335,General,87,,
ο αφέντης,3336,General,87,,
το κοκτέιλ,3337,General,87,,
αρνηθώ / αρνηθούσα,3338,General,87,,
πληγώσω / πλήγωσα,3340,General,87,,
ο σταυρός,3341,General,87,,
κατευθύνω / κατηύθυνα,3342,General,87,,
ο παίκτης,3343,General,87,,
κινώ / κίνησα,3344,General,87,,
η σερβιτόρα,3346,General,87,,
το μπέικον,3347,General,87,,
απόρρητος,3348,General,87,,
το έιντζελ,3350,General,87,,
βασικός,3351,General,87,,
το παιδάκι,3353,General,87,,
ο πυρήνας,3354,General,87,,
οι διαφορετικοί,3355,General,87,,
κόβω / έκοψα,3356,General,87,,
οι εκπλήξεις,3357,General,87,,
σταματά,3358,General,87,,
συλλαμβάνεσαι,3359,General,87,,
παντρεύω / πάντρεψα,3360,General,88,,
χωρίζω / χώρισα,3361,General,88,,
το ιατρείο,3362,General,88,,
ακουστεί,3363,General,88,,
το μπουκάλιο,3364,General,88,,
τυχερό,3365,General,88,,
ένοχη,3366,General,88,,
κείνος,3367,General,88,,
η φρουρά,3369,General,88,,
οι πυροβολισμοί,3370,General,88,,
επανορθώσω / επανόρθωσα,3372,General,88,,
η ανακούφιση,3373,General,88,,
το σεντς,3374,General,88,,
το πλυντήριο,3377,General,88,,
αποκτώ / απέκτησα,3378,General,88,,
ο υπολοχαγός,3380,General,88,,
αργήσω / άργησα,3381,General,88,,
το προχωράμε,3382,General,88,,
γουέστ,3384,General,88,,
κάρλα,3386,General,88,,
το σπέρμα,3388,General,88,,
γκριν,3389,General,88,,
ολα,3391,General,88,,
ο νιος,3392,General,88,,
το σχόλιο,3394,General,88,,
το κερί,3395,General,88,,
το βούτυρο,3396,General,88,,
το ποσοστό,3397,General,88,,
το κονγκ,3398,General,88,,
η διαφυγή,3399,General,88,,
δημοφιλής,3400,General,89,,
σηκωθείς,3401,General,89,,
ο πόντος,3402,General,89,,
το μαρτζ,3403,General,89,,
η ευλογία,3404,General,89,,
το ταχυδρομείο,3405,General,89,,
γραμμένος,3406,General,89,,
το γιατρούς,3408,General,89,,
το επάγγελμα,3411,General,89,,
τζέικομπ,3412,General,89,,
δεσποινίδα,3414,General,89,,
το σύνδρομο,3415,General,89,,
γουόλτ,3417,General,89,,
το ντέιλ,3419,General,89,,
υπογράψω / υπόγραψα,3421,General,89,,
ο θεάς,3422,General,89,,
νικώ / νίκησα,3423,General,89,,
το άλμπουμ,3424,General,89,,
παράξενοςς,3427,General,89,,
η μενού,3428,General,89,,
ζωντανούς,3430,General,89,,
καθαρίσω / καθάρισα,3433,General,89,,
η διάρρηξη,3434,General,89,,
η χριστού,3435,General,89,,
το λάστιχο,3436,General,89,,
το σφυρί,3437,General,89,,
άνω,3438,General,89,,
το δολοφόνου,3439,General,89,,
άλις,3440,General,89,,
η τίγρη,3442,General,89,,
το κόλιν,3443,General,90,,
ξαναβλέπω / ξαναείδα,3444,General,90,,
καμια,3445,General,90,,
μέρλιν,3446,General,90,,
ρας,3447,General,90,,
ελάχιστα,3448,General,90,,
προειδοποιήσω / προειδοποίησα,3449,General,90,,
ο θησαυρός,3450,General,90,,
η αγία,3451,General,90,,
η δάχτυλά,3454,General,90,,
το νοσοκομείου,3455,General,90,,
το μπερκ,3456,General,90,,
το χαντ,3457,General,90,,
σερίνα,3458,General,90,,
το διάβασμα,3459,General,90,,
τρέξω / έτρεξα,3460,General,90,,
το στρώμα,3461,General,90,,
το υποβρύχιο,3462,General,90,,
οδόν,3463,General,90,,
η παντελόνια,3465,General,90,,
το ζαν,3466,General,90,,
υγιής,3467,General,90,,
τα πυρομαχικά,3468,General,90,,
το φεστιβάλ,3469,General,90,,
τρέξει / έτρεξε,3471,General,90,,
ο ντριος,3472,General,90,,
μπέκα,3474,General,90,,
το ρέσ,3475,General,90,,
ο πολεμιστής,3477,General,90,,
ξεκαθαρίσω / ξεκαθάρισα,3479,General,90,,
οι πυροβολείς,3480,General,91,,
μπίσοπ,3481,General,91,,
οι εμεις,3482,General,91,,
το μπαμ,3483,General,91,,
βλάκες,3484,General,91,,
τα φιλιά,3486,General,91,,
μονκ,3487,General,91,,
το προσόν,3488,General,91,,
κρεγκ,3489,General,91,,
αρνούμαι / αρνήθηκα,3490,General,91,,
το δοχείο,3491,General,91,,
παρών,3492,General,91,,
βόρειος,3493,General,91,,
παμ,3494,General,91,,
το μπάρμαν,3495,General,91,,
το φιλε,3496,General,91,,
πάλμερ,3497,General,91,,
λέιν,3498,General,91,,
η σάντα,3499,General,91,,
το λλο,3501,General,91,,
πλησιάσει / πλησίασε,3502,General,91,,
η αυτοκράτορα,3505,General,91,,
ο βορράς,3506,General,91,,
η νεκρά,3509,General,91,,
σηκώσω / σήκωσα,3511,General,91,,
η φράση,3512,General,91,,
τρελαίνομαι / τρελάθηκα,3513,General,91,,
η υποσχέση,3514,General,91,,
ο γιαγιάς,3515,General,91,,
το χλμ,3516,General,91,,
χορεύω / χόρεψα,3518,General,92,,
το συμβάν,3519,General,92,,
ασχοληθώ / ασχοληθούσα,3520,General,92,,
έρικα,3522,General,92,,
ο ληστής,3523,General,92,,
ασχολούμαι / ασχολήθηκα,3524,General,92,,
κυκλοφορώ / κυκλοφόρησα,3525,General,92,,
η σκια,3526,General,92,,
το άσυλο,3527,General,92,,
ο θυμάτων,3528,General,92,,
εσενα,3529,General,92,,
τα μαγαζιά,3530,General,92,,
το βιβλίου,3531,General,92,,
γραφτό,3532,General,92,,
στέφανς,3533,General,92,,
τσάρλυ,3534,General,92,,
η λάμπα,3536,General,92,,
ο ενήλικας,3537,General,92,,
η γαλοπούλα,3538,General,92,,
αυριο,3540,General,92,,
το άραγε,3541,General,92,,
οι τύψεις,3542,General,92,,
ο μύθος,3546,General,92,,
το φρουρούς,3551,General,92,,
ίσιος,3552,General,92,,
η υποτροφία,3553,General,92,,
το λιοντάρι,3554,General,92,,
χαριτωμένος,3555,General,92,,
σόνια,3556,General,92,,
ακριβής,3557,General,92,,
το ρύζς,3558,General,93,,
η αποκάλυψη,3559,General,93,,
η μπριζόλα,3560,General,93,,
το τζετ,3561,General,93,,
καταπληκτικά,3562,General,93,,
ο θρύλος,3563,General,93,,
ο ανδρός,3564,General,93,,
το μιράν,3565,General,93,,
μουστάκι,3566,General,93,,
γελάω / γέλασα,3567,General,93,,
κολλάω / κόλλησα,3568,General,93,,
το μπρούκλιν,3569,General,93,,
ο φακός,3570,General,93,,
το χριστουγεννιάτικο,3571,General,93,,
ο κοπέλας,3572,General,93,,
μικρότερο,3573,General,93,,
το στήβεν,3574,General,93,,
χαρεί / χάραξε,3575,General,93,,
μαζέψει / μάζεψε,3576,General,93,,
εγγυώμαι / εγγυήθηκα,3577,General,93,,
η νικίτα,3578,General,93,,
το βαλ,3579,General,93,,
η ασπίδα,3580,General,93,,
τζάνετ,3581,General,93,,
κλέφτη,3583,General,93,,
ο βασίλης,3584,General,93,,
ήσουνα,3588,General,93,,
κατέβω / κάτεβα,3589,General,93,,
ξεφορτωθώ / ξεφορτωθούσα,3590,General,93,,
βάσει,3591,General,93,,
η γκαρσία,3592,General,94,,
φορτηγός,3593,General,94,,
ο δολοφόνους,3594,General,94,,
προσεκτικοί,3596,General,94,,
το μωράκι,3597,General,94,,
το πτυχίο,3599,General,94,,
ο βέλος,3600,General,94,,
το γυαλί,3601,General,94,,
ο φακέλος,3602,General,94,,
παρακάτω,3605,General,94,,
μπλερ,3606,General,94,,
λαχανικός,3607,General,94,,
ο κρίστοφερ,3608,General,94,,
σοβαρολογέας,3610,General,94,,
τα σχέδιά,3611,General,94,,
ηρεμήσω / ηρέμησα,3612,General,94,,
ντίλαν,3613,General,94,,
ο αμερικάνος,3614,General,94,,
μοιραστώ / μοιραστούσα,3615,General,94,,
το πλάνο,3616,General,94,,
απαλά,3617,General,94,,
το χόμπι,3618,General,94,,
ντέινα,3619,General,94,,
η στιγμη,3620,General,94,,
πηδήξω / πήδηξα,3621,General,94,,
ψυχραιμία,3622,General,94,,
το δικο,3623,General,94,,
το θράσος,3624,General,94,,
η λήψη,3626,General,94,,
η διάσωση,3627,General,94,,
διαβεβαιώνω / διαβεβάιωσα,3629,General,95,,
ήθαν,3631,General,95,,
ο αλήτης,3632,General,95,,
γυμνός,3633,General,95,,
το πουαρό,3634,General,95,,
μητερα,3635,General,95,,
διαρκώς,3636,General,95,,
μπέιλι,3637,General,95,,
ομολογήσω / ομολόγησα,3638,General,95,,
η λεπίδα,3639,General,95,,
ντοκ,3640,General,95,,
η χαλαρώση,3641,General,95,,
ντην,3642,General,95,,
θέσω / έθεσα,3643,General,95,,
το κάπνισμα,3644,General,95,,
γουόρεν,3645,General,95,,
το υγείαν,3646,General,95,,
μπόμπυ,3647,General,95,,
δίκαιος,3648,General,95,,
το στμ,3649,General,95,,
διαλέξει / διάλεξε,3653,General,95,,
η άνθρακα,3654,General,95,,
πητ,3656,General,95,,
ου,3657,General,95,,
η μπίρα,3658,General,95,,
το ποίημα,3659,General,95,,
η κούπα,3660,General,95,,
μεγκ,3662,General,95,,
το φασόλιο,3663,General,95,,
φυσικα,3665,General,95,,
το διαμάντι,3666,General,96,,
ποινικός,3667,General,96,,
το διάβολε,3668,General,96,,
το ράδιο,3669,General,96,,
πρωτότυπο,3670,General,96,,
το στέμμας,3671,General,96,,
το μελ,3673,General,96,,
ειδοποιώ / ειδοποίησα,3674,General,96,,
η κύτταρα,3675,General,96,,
μαλλί,3677,General,96,,
επιθυμείς,3678,General,96,,
το συκώτι,3679,General,96,,
η τάση,3682,General,96,,
βέβαιη,3683,General,96,,
τραγουδώ / τραγούδησα,3684,General,96,,
σηκωθώ / σηκωθούσα,3685,General,96,,
το σκάνδαλο,3688,General,96,,
έλθει / ήλθε,3689,General,96,,
το γρασίδι,3690,General,96,,
κίρα,3691,General,96,,
το σετ,3692,General,96,,
η άλφα,3693,General,96,,
η πειράματα,3694,General,96,,
εμποδίζω / εμπόδισα,3695,General,96,,
χόλι,3696,General,96,,
η κλάρα,3699,General,96,,
η συγχώρεση,3700,General,96,,
σουτιέν,3701,General,96,,
η κούρσα,3702,General,96,,
το ξεφορτωθείςς,3703,General,96,,
άγιος,3704,General,97,,
κλέψω / έκλεψα,3705,General,97,,
αντόνιο,3706,General,97,,
το τάγμας,3707,General,97,,
η παίδα,3708,General,97,,
το φίλτρο,3709,General,97,,
οπου,3711,General,97,,
το επιδόρπιο,3712,General,97,,
ανάλογα,3713,General,97,,
το προσευχέ,3714,General,97,,
η ανακάλυψη,3717,General,97,,
ο κορέας,3718,General,97,,
το μπερτ,3719,General,97,,
μπάσταρδοι,3720,General,97,,
χαρώ / χάραξα,3721,General,97,,
το σκουπίδι,3722,General,97,,
η ατάκα,3723,General,97,,
η ροή,3724,General,97,,
το μμε,3726,General,97,,
σέλντον,3728,General,97,,
εγκεφαλικός,3731,General,97,,
το δελτίο,3732,General,97,,
ωωω,3733,General,97,,
η ψιλά,3735,General,97,,
ισόβια,3736,General,97,,
ιδιο,3737,General,97,,
ανέβω,3738,General,97,,
κάρσον,3741,General,97,,
εννοούσες,3743,General,97,,
καμμία,3744,General,97,,
το σεντόνι,3746,General,98,,
καεί,3747,General,98,,
πετύχεις,3748,General,98,,
η υποψία,3749,General,98,,
η βελόνα,3750,General,98,,
η σόδα,3751,General,98,,
πάρις,3753,General,98,,
η τένις,3754,General,98,,
ο σάκος,3756,General,98,,
το άλογό,3757,General,98,,
η σιγουρα,3758,General,98,,
το βούλωσέ,3759,General,98,,
ονειρεύομαι / ονειρεύτηκα,3760,General,98,,
αποτύχει / απότυχε,3761,General,98,,
μικράς,3762,General,98,,
έντονα,3764,General,98,,
εντοπίζω / εντόπισα,3765,General,98,,
ετοιμάζομαι / ετοιμάστηκα,3766,General,98,,
ο αντρας,3769,General,98,,
ο φοιτητής,3770,General,98,,
το γκιλ,3771,General,98,,
το μετάλλιο,3772,General,98,,
τσεκάρω / τσεκάρισα,3773,General,98,,
το σταμα,3776,General,98,,
το μπέρδεμα,3777,General,98,,
ξαναπώ / ξαναέπεσα,3778,General,98,,
εγκαίρως,3779,General,98,,
ήρεμη,3780,General,98,,
το πετάξτε,3781,General,98,,
το φαινόμενο,3782,General,98,,
κάρμεν,3784,General,99,,
ο ιππότης,3785,General,99,,
το κοπάδι,3786,General,99,,
χαλαρά,3787,General,99,,
μπάτμαν,3788,General,99,,
ο κόμης,3789,General,99,,
μίκι,3792,General,99,,
το ρι,3795,General,99,,
οι γνώσεις,3797,General,99,,
μέρφι,3798,General,99,,
παρουσιάζω / παρουσίασα,3799,General,99,,
πιά,3801,General,99,,
ιδού,3803,General,99,,
προχωρήσω / προχώρησα,3804,General,99,,
το χάρισον,3805,General,99,,
το μπλεξίμα,3808,General,99,,
έξυπνα,3811,General,99,,
το βάζο,3812,General,99,,
το μο,3813,General,99,,
το εκατοστό,3814,General,99,,
τέντι,3815,General,99,,
λλωστε,3816,General,99,,
σταθεί,3817,General,99,,
το φίδιο,3818,General,99,,
το ντίξον,3819,General,99,,
ο πατερας,3820,General,99,,
η φράχτη,3821,General,99,,
το κόνι,3822,General,99,,
τσάντλερ,3823,General,99,,
η σφαγή,3824,General,99,,
η σοφίτα,3825,General,100,,
ο θαυμαστής,3826,General,100,,
το άνοιγμα,3827,General,100,,
το όντο,3828,General,100,,
κάτσει / έκατσε,3829,General,100,,
μυαλούς,3831,General,100,,
βικτόρια,3832,General,100,,
η σόις,3833,General,100,,
τηλεφωνής,3834,General,100,,
έντονος,3835,General,100,,
το μαχαίριο,3836,General,100,,
αποκτήσω / απόκτησα,3837,General,100,,
νηλ,3838,General,100,,
ο νίκολας,3839,General,100,,
ο άνθρωπες,3840,General,100,,
ρχοντας,3841,General,100,,
ο ονείρων,3843,General,100,,
το φίλο,3847,General,100,,
το φαΐ,3848,General,100,,
ξεχνάω / ξέχασα,3849,General,100,,
τζούντι,3850,General,100,,
κατουρήσω / κατούρησα,3851,General,100,,
ντένι,3852,General,100,,
το κέφι,3853,General,100,,
η φιλαδέλφεια,3854,General,100,,
εξωγήινος,3855,General,100,,
πυροβολώ / πυροβόλησα,3856,General,100,,
το καποιον,3857,General,100,,
νομιζεις,3858,General,100,,
η υγρά,3860,General,100,,
το σκύλου,3861,General,101,,
πράσινος,3862,General,101,,
ομοσπονδιακός,3863,General,101,,
το τόξο,3864,General,101,,
παλιότερα,3866,General,101,,
το λουίζ,3869,General,101,,
κόνραντς,3870,General,101,,
το δούλευεςς,3871,General,101,,
λέμον,3873,General,101,,
φράνκλιν,3875,General,101,,
αριστερή,3876,General,101,,
ηδη,3878,General,101,,
το επιπέδου,3879,General,101,,
αρσενικός,3880,General,101,,
κερνάω / κέρασα,3881,General,101,,
καλύψω / κάλυψα,3882,General,101,,
ντέξτερ,3883,General,101,,
ο οργανισμός,3887,General,101,,
σηκωθεί,3888,General,101,,
συγχωρώ / συγχώρησα,3889,General,101,,
το σκηνικό,3890,General,101,,
τζέφρι,3891,General,101,,
καποια,3893,General,101,,
όπερα,3896,General,101,,
το περίμετρο,3897,General,101,,
το διαστημόπλοιο,3898,General,101,,
η ενέδρα,3899,General,101,,
γκρι,3901,General,101,,
νόλαν,3902,General,101,,
έκτακτος,3904,General,101,,
γενικός,3906,General,102,,
κρύψω / έκρυψα,3907,General,102,,
μάλκολμ,3908,General,102,,
το τείχος,3909,General,102,,
ο χαμός,3910,General,102,,
η σφραγίδα,3913,General,102,,
πέιτος,3914,General,102,,
το οξύ,3915,General,102,,
ο ένιωσες,3917,General,102,,
το κιθ,3918,General,102,,
αρκετα,3919,General,102,,
ομολογώ / ομολόγησα,3920,General,102,,
το εισόδου,3921,General,102,,
τσέις,3922,General,102,,
βιάζω / βίασα,3923,General,102,,
η συρροή,3924,General,102,,
εγκαταλείπω / εγκατέλειψα,3925,General,102,,
μικ,3926,General,102,,
χολμς,3928,General,102,,
η μπογιά,3929,General,102,,
αντ,3930,General,102,,
γελοίοςς,3932,General,102,,
το κοριτσι,3933,General,102,,
ο ομήρος,3934,General,102,,
δημοτικός,3935,General,102,,
τα μοντέλα,3936,General,102,,
το γουέιντ,3937,General,102,,
το δίδυμο,3938,General,102,,
κλείνεις,3939,General,102,,
κραγιόν,3940,General,102,,
το πουλάκι,3941,General,103,,
το πάγοςς,3942,General,103,,
ο δήμαρχες,3943,General,103,,
κοκαΐνη,3945,General,103,,
ο πεζοναύτης,3946,General,103,,
έλενα,3948,General,103,,
το τρόμου,3949,General,103,,
η μπάλα,3950,General,103,,
φονικός,3951,General,103,,
το γκάμπριελ,3952,General,103,,
το δάχτυλό,3954,General,103,,
μαν,3955,General,103,,
το κτιρίου,3956,General,103,,
στενός,3957,General,103,,
αρραβωνιαστικιά,3958,General,103,,
η καθηγήτρια,3959,General,103,,
το κάρο,3960,General,103,,
υποψήφιος,3961,General,103,,
αποφύγω / απέφυγα,3962,General,103,,
ματια,3963,General,103,,
η τηγανίτη,3964,General,103,,
καθυστερώ / καθυστέρησα,3965,General,103,,
τζόζεφ,3966,General,103,,
κλάος,3967,General,103,,
η σύγκριση,3968,General,103,,
χιούστος,3969,General,103,,
η λιμουζίνα,3971,General,103,,
θυμώνεις,3972,General,103,,
αιμορραγώ / αιμορράγησα,3974,General,103,,
το διαβόλου,3975,General,103,,
κάθι,3976,General,104,,
το μπάτλερς,3977,General,104,,
η αποβάθρα,3978,General,104,,
ο σταγόνας,3981,General,104,,
άγνωστη,3984,General,104,,
το θείου,3985,General,104,,
το ιουλίου,3987,General,104,,
ειδα,3988,General,104,,
βίκτωρ,3989,General,104,,
το κόκαλο,3990,General,104,,
οδήγα,3992,General,104,,
αυτην,3993,General,104,,
το φαρμακείο,3994,General,104,,
το δράμα,3995,General,104,,
λόιντ,3996,General,104,,
το μπολ,3997,General,104,,
το πρόστιμο,3998,General,104,,
παραδεχτής,4001,General,104,,
ο νότος,4002,General,104,,
κατόπιν,4003,General,104,,
απάντησες,4004,General,104,,
γάλλος,4005,General,104,,
τζάκ,4006,General,104,,
ετοιμος,4007,General,104,,
το κήρυγμα,4009,General,104,,
σέπαρντ,4010,General,104,,
καλωσορίζω / καλωσόρισα,4011,General,104,,
σωθεί,4012,General,104,,
η αυστραλία,4013,General,104,,
μπάρνις,4014,General,104,,
το γκράχαμς,4017,General,105,,
σκότι,4018,General,105,,
η φλόγα,4020,General,105,,
το γκρέισον,4021,General,105,,
το σεπτεμβρίου,4022,General,105,,
το τζέρυ,4024,General,105,,
ευχαριστεί / ευχαρίστησε,4025,General,105,,
ξανάρθει / ξανάρθε,4026,General,105,,
ψηλός,4027,General,105,,
η ντουζίνα,4028,General,105,,
η στέλλα,4029,General,105,,
ευαίσθητοςς,4030,General,105,,
αναίσθητος,4031,General,105,,
η τζένη,4032,General,105,,
ο σων,4033,General,105,,
η έναρξη,4034,General,105,,
μεγαλειοτάτος,4035,General,105,,
μίνι,4036,General,105,,
το καπέλ,4037,General,105,,
ο τίτλος,4038,General,105,,
όση,4039,General,105,,
το λάπτοπ,4040,General,105,,
συμβώ / σύμβασα,4041,General,105,,
σαφώς,4042,General,105,,
λανς,4043,General,105,,
το ηρθες,4044,General,105,,
ολοκληρώνω / ολοκλήρωσα,4045,General,105,,
μαρς,4047,General,105,,
καλύτερή,4048,General,105,,
ο σκηνοθέτης,4049,General,105,,
τηλεφωνείς,4050,General,106,,
η βαρετή,4051,General,106,,
το νταϊάν,4052,General,106,,
λύσω / έλυσα,4053,General,106,,
ο ποταμός,4055,General,106,,
δοκιμάστε,4056,General,106,,
προλάβω / πρόλαβα,4057,General,106,,
οι φορες,4058,General,106,,
σάρος,4061,General,106,,
μαύροι,4062,General,106,,
αγγίξω / άγγιξα,4063,General,106,,
φρέιζερ,4064,General,106,,
ο υπότιτλος,4066,General,106,,
το γιονγκ,4069,General,106,,
το έντομο,4071,General,106,,
η μπαλάκια,4073,General,106,,
η κομματάκια,4074,General,106,,
άννι,4076,General,106,,
ο υπαλλήλος,4077,General,106,,
η χαιρετίσματα,4078,General,106,,
η πρέσβη,4079,General,106,,
η ύλη,4080,General,106,,
το τομάρι,4081,General,106,,
φράνκ,4083,General,106,,
έκπληκτος,4084,General,106,,
η ήττα,4085,General,106,,
η χορωδία,4088,General,106,,
τσανγκ,4091,General,106,,
κοιτώ / κοίταξα,4092,General,106,,
ο κλειστής,4093,General,106,,
η έμπνευση,4095,General,107,,
η παρτίδα,4096,General,107,,
λόρδες,4097,General,107,,
